#TYPE Selected.System.IO.FileInfo
"FullName","Length","LastWriteTime"
"C:\Users\BODDU_VAMSI\.gemini\antigravity\scratch\ChurchLyricsSystem\desktop\node_modules\7zip-bin\win\arm64\7za.exe","1089024","16-02-2026 19:11:04"
"C:\Users\BODDU_VAMSI\.gemini\antigravity\scratch\ChurchLyricsSystem\desktop\node_modules\7zip-bin\win\ia32\7za.exe","792064","16-02-2026 19:11:04"
"C:\Users\BODDU_VAMSI\.gemini\antigravity\scratch\ChurchLyricsSystem\desktop\node_modules\7zip-bin\win\x64\7za.exe","1231360","16-02-2026 19:11:04"
"C:\Users\BODDU_VAMSI\.gemini\antigravity\scratch\ChurchLyricsSystem\desktop\node_modules\@esbuild\win32-x64\esbuild.exe","11375616","16-02-2026 19:11:04"
"C:\Users\BODDU_VAMSI\.gemini\antigravity\scratch\ChurchLyricsSystem\desktop\node_modules\app-builder-bin\win\ia32\app-builder.exe","18308096","22-02-2026 22:11:38"
"C:\Users\BODDU_VAMSI\.gemini\antigravity\scratch\ChurchLyricsSystem\desktop\node_modules\app-builder-bin\win\x64\app-builder.exe","20335616","22-02-2026 22:11:38"
"C:\Users\BODDU_VAMSI\.gemini\antigravity\scratch\ChurchLyricsSystem\desktop\node_modules\electron\dist\electron.exe","180849664","22-02-2026 22:10:24"
"C:\Users\BODDU_VAMSI\.gemini\antigravity\scratch\ChurchLyricsSystem\desktop\node_modules\rcedit\bin\rcedit-x64.exe","1326592","22-02-2026 22:12:17"
"C:\Users\BODDU_VAMSI\.gemini\antigravity\scratch\ChurchLyricsSystem\desktop\node_modules\rcedit\bin\rcedit.exe","955904","22-02-2026 22:12:17"
"C:\Users\BODDU_VAMSI\.gemini\antigravity\scratch\ChurchLyricsSystem\desktop\release_v2\LyriX Church System Setup 1.0.0.exe","349867322","22-02-2026 22:15:48"
"C:\Users\BODDU_VAMSI\.gemini\antigravity\scratch\ChurchLyricsSystem\desktop\release_v2\LyriX Church System Setup 1.0.1.exe","695395717","22-02-2026 23:15:03"
"C:\Users\BODDU_VAMSI\.gemini\antigravity\scratch\ChurchLyricsSystem\desktop\release_v2\win-unpacked\LyriX Church System.exe","213660672","22-02-2026 21:51:20"
"C:\Users\BODDU_VAMSI\.gemini\antigravity\scratch\ChurchLyricsSystem\desktop\release_v3\LyriX Church System-win32-x64\LyriX Church System.exe","180924416","22-02-2026 23:11:15"
"C:\Users\BODDU_VAMSI\.gemini\antigravity\scratch\ChurchLyricsSystem\desktop\release_v3\LyriX Church System-win32-x64\resources\elevate.exe","107520","18-06-2019 00:51:30"
"C:\Users\BODDU_VAMSI\.gemini\antigravity\scratch\ChurchLyricsSystem\desktop\release_v3\LyriX Church System-win32-x64\resources\app\release_v2\LyriX Church System Setup 1.0.0.exe","349867322","22-02-2026 22:15:48"
"C:\Users\BODDU_VAMSI\.gemini\antigravity\scratch\ChurchLyricsSystem\desktop\release_v3\LyriX Church System-win32-x64\resources\app\release_v2\win-unpacked\LyriX Church System.exe","213660672","22-02-2026 21:51:20"
